"filename", "language", "JSON", "JavaScript", "comment", "blank", "total"
"d:\Discord Bot Projects\Walmane V14\Commands\General\blackList.js", "JavaScript", 0, 79, 4, 7, 90
"d:\Discord Bot Projects\Walmane V14\Commands\General\blacklistShow.js", "JavaScript", 0, 43, 4, 8, 55
"d:\Discord Bot Projects\Walmane V14\Commands\General\channelCreateSetup.js", "JavaScript", 0, 39, 4, 7, 50
"d:\Discord Bot Projects\Walmane V14\Commands\General\clear.js", "JavaScript", 0, 45, 4, 7, 56
"d:\Discord Bot Projects\Walmane V14\Commands\General\follow.js", "JavaScript", 0, 62, 4, 6, 72
"d:\Discord Bot Projects\Walmane V14\Commands\General\followers.js", "JavaScript", 0, 81, 4, 8, 93
"d:\Discord Bot Projects\Walmane V14\Commands\General\forceFetish.js", "JavaScript", 0, 70, 6, 9, 85
"d:\Discord Bot Projects\Walmane V14\Commands\General\ratingSetup.js", "JavaScript", 0, 37, 4, 7, 48
"d:\Discord Bot Projects\Walmane V14\Commands\General\runs.js", "JavaScript", 0, 75, 4, 8, 87
"d:\Discord Bot Projects\Walmane V14\Commands\General\shoutout.js", "JavaScript", 0, 127, 8, 9, 144
"d:\Discord Bot Projects\Walmane V14\Commands\General\unfollow.js", "JavaScript", 0, 59, 4, 5, 68
"d:\Discord Bot Projects\Walmane V14\Commands\General\verificationSetup.js", "JavaScript", 0, 35, 4, 6, 45
"d:\Discord Bot Projects\Walmane V14\Commands\General\verifyHistory.js", "JavaScript", 0, 142, 20, 21, 183
"d:\Discord Bot Projects\Walmane V14\Commands\General\warning.js", "JavaScript", 0, 232, 4, 11, 247
"d:\Discord Bot Projects\Walmane V14\Commands\General\warningList.js", "JavaScript", 0, 100, 4, 9, 113
"d:\Discord Bot Projects\Walmane V14\Commands\Owner\checkMessage.js", "JavaScript", 0, 23, 4, 5, 32
"d:\Discord Bot Projects\Walmane V14\Commands\Owner\reload.js", "JavaScript", 0, 69, 5, 4, 78
"d:\Discord Bot Projects\Walmane V14\Commands\Premium\autoSignup.js", "JavaScript", 0, 352, 9, 33, 394
"d:\Discord Bot Projects\Walmane V14\Commands\Public\ping.js", "JavaScript", 0, 16, 4, 3, 23
"d:\Discord Bot Projects\Walmane V14\Events\Client\messageCreate.js", "JavaScript", 0, 200, 39, 11, 250
"d:\Discord Bot Projects\Walmane V14\Events\Client\ready.js", "JavaScript", 0, 246, 9, 13, 268
"d:\Discord Bot Projects\Walmane V14\Events\Client\thread.js", "JavaScript", 0, 2030, 40, 109, 2179
"d:\Discord Bot Projects\Walmane V14\Events\Interactions\interactionCreate.js", "JavaScript", 0, 12, 0, 5, 17
"d:\Discord Bot Projects\Walmane V14\Events\Shoutout-Featured\Featured-Follow.js", "JavaScript", 0, 86, 8, 8, 102
"d:\Discord Bot Projects\Walmane V14\Events\Shoutout-Featured\Shoutout-Featured.js", "JavaScript", 0, 83, 7, 8, 98
"d:\Discord Bot Projects\Walmane V14\Events\Verification-CH\creationProcess.js", "JavaScript", 0, 1236, 41, 103, 1380
"d:\Discord Bot Projects\Walmane V14\Events\Verification-CH\verification.js", "JavaScript", 0, 339, 16, 28, 383
"d:\Discord Bot Projects\Walmane V14\Events\Verification-CH\verificationM.js", "JavaScript", 0, 71, 6, 8, 85
"d:\Discord Bot Projects\Walmane V14\Events\Verification-Rate\ratingprocess-1.js", "JavaScript", 0, 34, 11, 7, 52
"d:\Discord Bot Projects\Walmane V14\Events\Verification-Rate\ratingprocess-2.js", "JavaScript", 0, 88, 6, 11, 105
"d:\Discord Bot Projects\Walmane V14\Events\Verification-Rate\ratingprocess-3.js", "JavaScript", 0, 148, 11, 13, 172
"d:\Discord Bot Projects\Walmane V14\Events\Verification-Rate\verification-Rate.js", "JavaScript", 0, 175, 15, 26, 216
"d:\Discord Bot Projects\Walmane V14\Events\Verification\verificationModal.js", "JavaScript", 0, 88, 6, 7, 101
"d:\Discord Bot Projects\Walmane V14\Events\Verification\verificationprocess-1.js", "JavaScript", 0, 219, 8, 7, 234
"d:\Discord Bot Projects\Walmane V14\Events\Verification\verificationprocess-2.js", "JavaScript", 0, 224, 5, 9, 238
"d:\Discord Bot Projects\Walmane V14\Events\Verification\verificationprocess-3.js", "JavaScript", 0, 237, 8, 15, 260
"d:\Discord Bot Projects\Walmane V14\Functions\Channel-Create\Day-Category\Co-Owner-With-Badge-Day.js", "JavaScript", 0, 139, 0, 9, 148
"d:\Discord Bot Projects\Walmane V14\Functions\Channel-Create\Day-Category\Co-Owner-Without-Badge-Day.js", "JavaScript", 0, 133, 0, 9, 142
"d:\Discord Bot Projects\Walmane V14\Functions\Channel-Create\Day-Category\No-Co-Owner-With-Badge-Day.js", "JavaScript", 0, 125, 0, 9, 134
"d:\Discord Bot Projects\Walmane V14\Functions\Channel-Create\Day-Category\No-Co-Owner-Without-Badge-Day.js", "JavaScript", 0, 119, 0, 9, 128
"d:\Discord Bot Projects\Walmane V14\Functions\Interaction.js", "JavaScript", 0, 22, 1, 3, 26
"d:\Discord Bot Projects\Walmane V14\Handlers\commandHandler.js", "JavaScript", 0, 24, 0, 5, 29
"d:\Discord Bot Projects\Walmane V14\Handlers\errorHandler.js", "JavaScript", 0, 45, 0, 12, 57
"d:\Discord Bot Projects\Walmane V14\Handlers\eventHandler.js", "JavaScript", 0, 32, 0, 4, 36
"d:\Discord Bot Projects\Walmane V14\Models\autoSignup.js", "JavaScript", 0, 8, 0, 3, 11
"d:\Discord Bot Projects\Walmane V14\Models\blackList.js", "JavaScript", 0, 9, 0, 2, 11
"d:\Discord Bot Projects\Walmane V14\Models\communityRules.js", "JavaScript", 0, 11, 0, 2, 13
"d:\Discord Bot Projects\Walmane V14\Models\rosterinfoDB.js", "JavaScript", 0, 11, 0, 3, 14
"d:\Discord Bot Projects\Walmane V14\Models\warningList.js", "JavaScript", 0, 10, 0, 2, 12
"d:\Discord Bot Projects\Walmane V14\config.json", "JSON", 5, 0, 0, 1, 6
"d:\Discord Bot Projects\Walmane V14\index.js", "JavaScript", 0, 24, 0, 7, 31
"d:\Discord Bot Projects\Walmane V14\package-lock.json", "JSON", 1761, 0, 0, 1, 1762
"d:\Discord Bot Projects\Walmane V14\package.json", "JSON", 28, 0, 0, 1, 29
"Total", "-", 1794, 7914, 341, 643, 10692